,Proportion_Western,Mean_Western,Std_Western,Proportion_Nonwestern,Mean_Nonwestern,Std_Nonwestern,FC(Western_vs_Nonwestern),M.W.W. qvalue,Significant
Blautia producta 2,0.14874945151382185,1.5269161111493704e-08,9.8150527145798e-08,0.008291873963515755,5.893330268254306e-10,1.2015097940813972e-08,25.909223506010402,3.833685357377491e-21,True
Blautia sp. 2789STDY5608796 & sp. 2789STDY5608848,0.25274243089074155,6.942763498770851e-08,2.9509290918864837e-07,0.47761194029850745,6.94187693714579e-08,2.190255759663229e-07,1.0001277120918577,1.3845695040245012e-21,True
Blautia sp. 2789STDY5834862,0.4251864853005704,3.4817119191551586e-08,9.041262719084941e-08,0.4842454394693201,2.8859011063236126e-08,1.0327743945866343e-07,1.206455727649849,0.16128381175174672,False
Blautia sp. CAG:237,0.3290917068889864,1.2035423308381684e-07,6.256337408679609e-07,0.36318407960199006,7.474070242999897e-08,3.2048414427488085e-07,1.6102903661701442,0.4187347534092143,False
Blautia sp. CAG:257,0.2926722246599386,1.0523078039209055e-07,1.022320632886783e-06,0.008291873963515755,1.1246374879257364e-09,1.8906941176705247e-08,93.56862235330297,2.4267886198543267e-47,True
Blautia sp. CAG:52 & sp. 2789STDY5834917,0.6195699868363317,2.786808473759496e-07,7.804691698241085e-07,0.6533996683250415,1.1094369871248417e-07,2.0689155328183432e-07,2.511912353834211,0.05567745595336529,False
Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,0.7169811320754716,1.8167067119827907e-07,5.174358226703221e-07,0.7197346600331676,1.561016014331532e-07,4.466431130048523e-07,1.163797613415742,0.3174944360561842,False
Blautia wexlerae,0.9811320754716981,2.6203633076554903e-06,6.913044604443178e-06,0.9187396351575456,5.57803781696665e-07,1.1486181362937974e-06,4.697643496939305,6.508328572236919e-61,True
Brachyspira sp. CAG:484,0.019745502413339184,1.672163881249144e-08,2.9428192116345607e-07,0.001658374792703151,0.0,0.0,inf,0.0009170733674010329,True
Brachyspira sp. CAG:700,0.021939447125932425,6.166981578243923e-08,8.773017693768513e-07,0.175787728026534,3.1772088182590454e-07,1.1071863389583595e-06,0.19410060625549713,7.32570504696982e-49,True
Butyricicoccus pullicaecorum,0.03290917068889864,3.6731367275547248e-09,3.465701876523868e-08,0.008291873963515755,7.920860817752829e-10,1.0804748754406694e-08,4.637294874973961,0.000830303007460057,True
Butyricicoccus sp. 2789STDY5834927 / Clostridia bacterium UC5.1-1D1,0.475647213690215,2.4334395283217634e-08,7.073613299796212e-08,0.024875621890547265,4.374069367035475e-09,6.129348715740757e-08,5.563330903394032,1.1850344144962894e-83,True
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,0.9074155331285652,3.891779095108609e-07,6.43579561665189e-07,0.8855721393034826,2.2948503155945642e-07,4.280507105171132e-07,1.6958749198857017,4.931679524503482e-11,True
Butyricimonas synergistica 2,0.3848179025888548,1.1951561436513978e-07,3.396894622981714e-07,0.07131011608623548,1.2548344339599275e-08,9.909470577472724e-08,9.524413032560792,1.6922544541507068e-48,True
Butyricimonas virosa,0.49627029398859146,1.5072490830764142e-07,4.0924952741638395e-07,0.32172470978441126,4.223268693252678e-08,1.4644422761231428e-07,3.568915909812882,5.129418218648926e-19,True
Butyrivibrio crossotus,0.12724879333040806,8.678829625165622e-07,4.854312492398199e-06,0.6318407960199005,1.4927458566773257e-06,4.7199160326753276e-06,0.5814003493189164,2.4691542134334848e-137,True
Butyrivibrio sp. CAG:318,0.06845107503290918,1.5865801947071395e-07,1.3084054051492102e-06,0.46102819237147596,3.9152188547546925e-07,1.3727765270529803e-06,0.40523410148078337,9.20650824749172e-121,True
Caecibacter massiliensis,0.011408512505484861,6.743101598753554e-09,1.0359166646954002e-07,0.04311774461028192,1.7699020327291392e-08,1.9483966118860804e-07,0.3809872791860621,7.103827059920993e-07,True
Campylobacter concisus 2,0.050460728389644584,5.194427381270479e-09,7.91570365199441e-08,0.06965174129353234,2.571775993172909e-09,1.9897706136037097e-08,2.0197822030611206,0.10677975990832383,False
Campylobacter hominis,0.060991663010092144,2.4262112753329998e-09,2.4207773041897027e-08,0.04643449419568822,9.58586904035111e-10,7.062027445904074e-09,2.531029023159003,0.16086036177927268,False
Candidatus Gastranaerophilales bacterium HUM_1 / Clostridium sp. CAG:813,0.014480035103115402,7.988844144103413e-08,2.90150262726975e-06,0.2620232172470978,5.86995153912373e-07,3.465105808696535e-06,0.13609727594609736,4.2681254114931977e-103,True
Candidatus Gastranaerophilales bacterium HUM_2 / Candidatus Melainabacteria bacterium MEL.A1,0.018429135585783237,2.8940844208500304e-08,5.27575639085634e-07,0.29850746268656714,4.555804119212397e-07,1.913524219674088e-06,0.06352521629815719,1.4402287460392186e-115,True
Candidatus Gastranaerophilales bacterium HUM_21 / Heliobacterium sp. N15.MGS-306 / Clostridium sp.  UNK.MGS-6 & K4410.MGS-306 & CAG:306,0.07634927599824484,3.796845146014624e-08,3.2634853669169287e-07,0.014925373134328358,1.758825379868868e-09,2.9660605870100096e-08,21.587391161581397,2.806376012840192e-08,True
Candidatus Gastranaerophilales bacterium HUM_6 & HUM_7 & HUM_12 & HUM_14,0.016673979815708645,3.30081045487e-08,4.810022719203144e-07,0.21393034825870647,5.058655864854916e-07,2.7423343971482483e-06,0.06525074136397432,8.227978962849953e-75,True
Candidatus Gastranaerophilales bacterium MH_37 & HUM_20 / Melainabacteria sp. 35_41,0.017551557700745943,2.4375043017463714e-08,6.875872018287722e-07,0.001658374792703151,0.0,0.0,inf,0.0018556395254905823,True
Candidatus Gastranaerophilales bacterium x14,0.17112768758227292,1.9553166053222676e-07,1.228789910624994e-06,0.009950248756218905,1.0125570404444343e-09,2.18533466258041e-08,193.10681050264927,1.5550832325705273e-24,True
Candidatus Gastranaerophilus phascolarctosicola,0.00043878894251864854,0.0,0.0,0.008291873963515755,1.861031173288942e-09,2.9830430353513185e-08,0.0,0.00016436452381014986,True
Candidatus Methanomassiliicoccus intestinalis,0.017112768758227294,6.79258190901539e-09,9.048817493614583e-08,0.001658374792703151,0.0,0.0,inf,0.0021281477591801336,True
Candidatus Methanomethylophilus alvus / Methanoculleus sp. CAG:1088,0.009214567792891619,1.0031506964965093e-08,1.9575982119143195e-07,0.028192371475953566,2.6753037647326212e-08,3.978363375860625e-07,0.37496702607031523,0.0007897899116369881,True
Catabacter hongkongensis,0.08644142167617376,3.4462111515865694e-09,1.7605616192197244e-08,0.003316749585406302,1.6629751372259868e-10,4.08361144471431e-09,20.723167018210525,7.213384454325662e-13,True
Catenibacterium mitsuokai,0.03861342694164107,7.519048800340068e-08,8.160693048425487e-07,0.5323383084577115,5.640067740994523e-07,2.197338581134031e-06,0.13331486687098232,1.3116842400641572e-204,True
Catenibacterium sp. CAG:290,0.12724879333040806,3.5132666824627233e-07,2.027835742891384e-06,0.8208955223880597,1.410545600883161e-06,3.056864507200407e-06,0.2490714713698743,5.476651050580752e-242,True
Christensenella minuta,0.1031154014918824,4.824423055659224e-09,2.834390443893147e-08,0.008291873963515755,2.0392896867398326e-10,2.65019203191172e-09,23.657369951063316,6.205778851677104e-14,True
Christensenellaceae bacterium Phil1 & Clostridium sp. CAG:226,0.20140412461605967,2.609723238072409e-07,1.5844649417791373e-06,0.5107794361525705,4.7520884882960554e-07,1.8173025251686547e-06,0.5491739567770909,1.866032813877228e-45,True
Christensenellaceae bacterium Phil10,0.004387889425186486,2.120873588429433e-10,6.46764890003751e-09,0.006633499170812604,5.762398581445113e-08,1.4084809635837972e-06,0.003680539550420258,0.7459769677521034,False
Citrobacter freundii,0.11584028082492322,4.8264765542345174e-08,8.569792367788928e-07,0.14427860696517414,9.282347261446003e-08,1.739116642438744e-06,0.5199629380686033,0.12590278894379014,False
Citrobacter koseri,0.016673979815708645,5.544422336965993e-09,9.835572627340533e-08,0.014925373134328358,1.5373949815951374e-09,2.99894409341497e-08,3.6063746814194295,0.628616874904492,False
Citrobacter werkmanii,0.007898200965335674,2.702200703849215e-09,7.23255397664878e-08,0.001658374792703151,0.0,0.0,inf,0.04386135135086902,True
Cloacibacillus evryensis,0.060552874067573495,1.1377703691577752e-08,1.3847235979887015e-07,0.013266998341625208,6.19244538182658e-10,7.152534287161005e-09,18.373522881556173,2.059778741625183e-06,True
Cloacibacillus porcorum,0.1184730144800351,9.860043280673018e-09,7.65199103187692e-08,0.05970149253731343,2.3102596185189883e-09,2.6433198739879983e-08,4.26793733554235,1.9266126874242024e-05,True
Clostridia bacterium UC5.1-1D10 / Clostridium sp. CAG:505 / Firmicutes bacterium CAG:466,0.10223782360684511,3.57179680420278e-08,2.0170117896282103e-07,0.004975124378109453,1.4847531605959254e-09,3.496838170741253e-08,24.056502447647205,8.923996759435589e-15,True
Clostridia bacterium UC5.1-2E3,0.17200526546731024,1.3854973355419234e-08,7.573194722445924e-08,0.006633499170812604,2.5849329340762333e-09,5.8310297074759687e-08,5.359896642877711,2.276290857776672e-25,True
Clostridiales bacterium 1_7_47FAA  & VE202-28,0.18955682316805617,5.952788761009059e-09,3.056017110837539e-08,0.04477611940298507,3.014211110296491e-09,5.3815538667444256e-08,1.9749077099060646,1.1102275797747537e-17,True
Clostridiales bacterium 41_21_two_genomes,0.05835892935498026,1.448514767588631e-07,1.2224314814836582e-06,0.20398009950248755,1.697611116655803e-07,8.610387384110579e-07,0.853266542246803,1.831185418499528e-27,True
Clostridiales bacterium S5-A14a,0.004826678367705134,1.3129277810435887e-10,4.123587564073455e-09,0.001658374792703151,0.0,0.0,inf,0.12528562313379357,False
Clostridiales bacterium UBA643,0.06318560772268539,2.7783496425556503e-08,1.9821908428446945e-07,0.4129353233830846,2.189190495826833e-07,1.2808586570947982e-06,0.12691219187420683,2.2504670773338985e-105,True
Clostridiales bacterium UBA644,0.011408512505484861,1.3033288013715681e-09,1.9095311073456348e-08,0.011608623548922056,2.5607003619515077e-09,4.490576496995485e-08,0.5089735686131985,0.8493977971672609,False
Clostridioides difficile,0.004387889425186486,2.1799121318240153e-10,4.30354636062708e-09,0.001658374792703151,0.0,0.0,inf,0.14594763274121347,False
Clostridium asparagiforme == lavalense,0.45458534444931986,3.1772181836627045e-08,1.0769265665088564e-07,0.1044776119402985,1.0410756812037314e-08,9.290219645619842e-08,3.0518609175358735,3.133043964980335e-51,True
Clostridium bolteae,0.6020184291355858,1.7412762230171776e-07,8.509408774678894e-07,0.1691542288557214,4.606146475202805e-08,4.982588723420713e-07,3.7803318509112556,3.5969205365511325e-72,True
Clostridium butyricum,0.015357612988152698,4.1402117136150635e-09,1.2574124266999464e-07,0.01658374792703151,4.686969830455618e-09,8.920239723323949e-08,0.8833450744044143,0.9909612396133468,False
Clostridium celatum,0.05748135146994296,6.454704940646243e-09,1.9011460082634243e-07,0.087893864013267,2.788733415780325e-09,2.0821916941800505e-08,2.314565065316625,0.013908040959908056,True
Clostridium citroniae,0.491882404563405,2.4779416080905725e-08,7.202297478299189e-08,0.1625207296849088,1.341353775711505e-08,2.019347795974975e-07,1.8473438200717616,1.5299790646580567e-46,True
Clostridium clostridioforme 1,0.20140412461605967,5.820680899777002e-08,6.575703825166772e-07,0.04975124378109453,3.7610816712803463e-08,4.111814879315996e-07,1.5476082171317296,5.238633617368725e-18,True
Clostridium clostridioforme 2,0.006581834137779728,2.135825366949721e-09,6.412854154401864e-08,0.003316749585406302,4.0638190935025534e-10,9.979137864416795e-09,5.255709759237536,0.2037440219727981,False
Clostridium disporicum,0.0451952610794208,5.360233524590213e-09,8.153184276676281e-08,0.04311774461028192,4.368304704230751e-09,4.7926206995946516e-08,1.227074091099636,0.7594252916182843,False
Clostridium glycyrrhizinilyticum,0.3378674857393594,3.3662616082289375e-08,1.4624356465556168e-07,0.01824212271973466,6.581678403574715e-09,1.4730306748483563e-07,5.1145944876319325,1.220030108105602e-53,True
Clostridium hylemonae,0.028082492321193506,1.026706728499061e-09,1.3186852382892808e-08,0.001658374792703151,0.0,0.0,inf,6.183877291469034e-05,True
Clostridium innocuum,0.3979815708644142,4.8638883298667274e-08,2.7667949287115324e-07,0.13266998341625208,2.0969066591577798e-08,2.3889731140646013e-07,2.3195540481617347,2.8732677349590177e-32,True
Clostridium jeddahense,0.00043878894251864854,0.0,0.0,0.001658374792703151,0.0,0.0,,1.0,False
Clostridium leptum,0.7095217200526547,1.4889926583493843e-07,7.025609123561812e-07,0.1956882255389718,1.2320191702586521e-08,6.878066848852587e-08,12.08579131148408,1.4506975841716207e-109,True
Clostridium methylpentosum,0.035103115401491886,7.766392341496685e-10,5.622313859168181e-09,0.003316749585406302,1.1469009511884728e-11,2.8163366639621147e-10,67.71633011071081,1.9266126874242024e-05,True
Clostridium neonatale,0.008336989907854322,4.478802614791674e-09,9.793536930279352e-08,0.011608623548922056,3.6953276218785934e-09,6.195279865774593e-08,1.2120177351189192,0.6449928148467317,False
Clostridium paraputrificum,0.08161474330846863,1.9177567916983835e-08,2.5326755867374745e-07,0.05804311774461028,6.59165395451493e-09,1.0659405591460477e-07,2.909371160761288,0.049758493497521414,True
Clostridium perfringens,0.09170688898639755,2.5278590173239545e-08,3.0645879027959537e-07,0.2603648424543947,8.420353843719037e-08,6.830331202678053e-07,0.30020816989888743,3.543661542254478e-28,True
Clostridium phoceensis,0.8025449758666081,1.901941487172277e-07,3.193027396974378e-07,0.27860696517412936,4.0385321613029184e-08,1.9815397596987438e-07,4.70948703936697,3.707510735541713e-120,True
Clostridium saccharolyticum 2,0.17595436594997807,2.4303858647211653e-08,3.4827981044878833e-07,0.011608623548922056,2.4952771057667707e-09,5.7763291589245626e-08,9.739943748549463,1.0813368476815804e-24,True
Clostridium saudiense,0.27336551118911806,5.050860473032289e-08,2.587270247548184e-07,0.34991708126036486,3.369298507970303e-08,1.5809058171826075e-07,1.499083699792149,0.002138672992725231,True
Clostridium scindens 1,0.054848617814831066,1.0142372906373424e-08,1.2533106449339065e-07,0.009950248756218905,4.6849776296109266e-09,6.929817981143094e-08,2.164871149494841,2.397628874215975e-06,True
Clostridium scindens 2,0.22641509433962265,2.1578442827115492e-08,1.1242985012511167e-07,0.01824212271973466,6.63014258410999e-10,6.21652693726879e-09,32.54597100042927,2.4991925961706746e-31,True
Clostridium sp. 26_22,0.1465555068012286,9.011834457586389e-08,4.7615144172468653e-07,0.18076285240464346,2.7637660378923306e-08,1.1214662418529234e-07,3.2607081547535346,0.19007211655649725,False
Clostridium sp. 2789STDY5608793,0.307152259763054,3.607370286825825e-08,1.294328697090773e-07,0.560530679933665,5.987555099290906e-08,1.1669619084221615e-07,0.6024780109753042,3.30230072361846e-30,True
Clostridium sp. 2789STDY5608831,0.3001316366827556,2.7525925685741993e-08,1.0170180507988564e-07,0.39303482587064675,2.251739165057198e-08,4.3836528749445116e-08,1.2224295830038017,0.0012355166688823099,True
Clostridium sp. 2789STDY5608884,0.410706450197455,5.683453207408956e-08,3.654030452415069e-07,0.7893864013266998,1.796919600866337e-07,5.135352720574877e-07,0.3162886756129117,1.2207966821636162e-81,True
Clostridium sp. 2789STDY5834874 & sp. 2789STDY5608885,0.5884159719175077,5.4073113367429965e-08,8.4953219293114e-08,0.7446102819237148,6.34697970210452e-08,8.83592502293697e-08,0.851950311886148,2.2318462136907324e-07,True
Clostridium sp. 2789STDY5834920,0.10355419043440105,1.884039732280277e-08,1.1550051650122956e-07,0.001658374792703151,0.0,0.0,inf,5.029958226936537e-16,True
Clostridium sp. 2789STDY5834924,0.5923650724001756,1.3144167302494946e-07,3.416481425108087e-07,0.835820895522388,1.478390638571411e-07,2.5412602423391417e-07,0.8890862103399366,4.808772633685165e-21,True
Clostridium sp. 27_14,0.1619131197893813,6.283202978533757e-08,3.0304796191325554e-07,0.18739635157545606,1.6810917528759144e-08,6.229374743265106e-08,3.7375729003398046,0.515909866929513,False
Clostridium sp. 28_12 & CAG:356,0.11013602457218079,8.105755783247531e-08,5.675052591659276e-07,0.11608623548922056,1.5959720378294366e-08,1.0155373431988747e-07,5.0788833332390775,0.941209029260429,False
Clostridium sp. 28_17 & CAG:470,0.09609477841158402,7.641940000331965e-08,5.968715419757846e-07,0.16086235489220563,1.216597813370982e-07,8.639923981869116e-07,0.6281402051149075,1.799560124049447e-05,True
Clostridium sp. 29_15 & CAG:265,0.18121983326020183,3.738578092297851e-08,4.730747806171571e-07,0.3913764510779436,1.1653404719384108e-07,8.05915599692387e-07,0.3208142326061287,8.550804901376614e-29,True
Clostridium sp. 42_12 & CAG:75,0.5059236507240018,2.848473675125929e-07,7.671815373648078e-07,0.3200663349917081,8.66515841197419e-08,4.4870423440295395e-07,3.287272476391991,1.498014861877637e-21,True
Clostridium sp. 44_14 & CAG:277,0.08819657744624836,6.178073800046088e-08,4.208934199971566e-07,0.2736318407960199,5.864379985900712e-08,2.5109801308784887e-07,1.0534913861140593,2.6799193726633474e-30,True
Clostridium sp. 7_2_43FAA,0.01228609039052216,8.089100912795662e-10,1.9288739197774303e-08,0.02321724709784411,2.332019430938341e-09,2.2403638923978595e-08,0.3468710768649483,0.08557444083439787,False
Clostridium sp. AT4,0.33742869679684073,2.43112613088022e-07,1.748812817106846e-06,0.03150912106135987,2.989925497160297e-09,3.2857243999531875e-08,81.3105922936608,1.2617939871423654e-49,True
Clostridium sp. CAG:1000,0.008336989907854322,1.7476569864882575e-08,4.1956025127099505e-07,0.02155887230514096,1.5767956473642304e-08,1.909209118131849e-07,1.108359849552882,0.014224581547834209,True
Clostridium sp. CAG:1013,0.010969723562966213,5.056078109988695e-10,1.1547936797089768e-08,0.001658374792703151,0.0,0.0,inf,0.015884925602220285,True
Clostridium sp. CAG:1024,0.009653356735410267,4.7478783885615256e-08,9.042337789062488e-07,0.12437810945273632,8.762081169201322e-08,7.871733751673248e-07,0.5418665151437193,7.201086549480095e-43,True
Clostridium sp. CAG:1193,0.014480035103115402,1.0281456702250938e-08,1.486807846171022e-07,0.04145936981757877,5.764515734470685e-09,5.104736838577251e-08,1.783576830360584,9.001939308811552e-05,True
Clostridium sp. CAG:1219,0.003949100482667837,7.835310190121717e-10,1.5792815641701174e-08,0.024875621890547265,4.395588266949448e-09,4.324699984131652e-08,0.17825396088700196,1.4510546673530952e-06,True
Clostridium sp. CAG:127,0.418165862220272,1.0860128712902812e-06,3.2554445847166345e-06,0.7628524046434494,7.762388630877356e-07,1.6996313990412516e-06,1.3990704703579533,2.2311954433990038e-33,True
Clostridium sp. CAG:138,0.37911364633611233,5.098420521778752e-07,1.914515340663278e-06,0.6235489220563848,5.846232896257356e-07,2.1121713389802266e-06,0.8720864550303258,4.9127208084799764e-18,True
Clostridium sp. CAG:167,0.19394471259324264,6.473196533588408e-08,3.2086258730976476e-07,0.06467661691542288,5.746795992799157e-09,4.086330935811395e-08,11.264009618054034,7.519214196692035e-15,True
Clostridium sp. CAG:169,0.26722246599385696,9.68073556663054e-08,3.652463519573319e-07,0.04643449419568822,1.0966007082207154e-08,1.0611536446941778e-07,8.827949402237733,4.736142158133602e-31,True
Clostridium sp. CAG:217,0.38569548047389207,1.068301878237502e-06,4.298671118666343e-06,0.6799336650082919,5.278000365957951e-07,1.5276046284440905e-06,2.0240655630261712,8.751631457567729e-20,True
Clostridium sp. CAG:221,0.20842474769635805,2.365369579618635e-08,1.43667483312416e-07,0.4660033167495854,8.882731177990045e-08,5.086905373814714e-07,0.2662885470945731,2.0740053847287897e-39,True
Clostridium sp. CAG:230,0.25625274243089075,7.938536041406633e-08,3.5029348827068647e-07,0.3034825870646766,2.1536040276371655e-08,8.293607070683267e-08,3.686163259137487,0.4648279022932164,False
Clostridium sp. CAG:245,0.30759104870557263,4.317490755128031e-07,1.396910369392496e-06,0.49087893864013266,3.0490409147647885e-07,1.4014829072393425e-06,1.4160160115336118,2.0406609895256935e-08,True
Clostridium sp. CAG:253,0.14962702939885913,5.630067134672968e-08,2.854086421831065e-07,0.2537313432835821,3.126605918863069e-08,2.6408351142265684e-07,1.8006961161003097,5.954021276097381e-07,True
Clostridium sp. CAG:269,0.2277314611671786,3.2018180007011365e-07,1.1389391950091473e-06,0.43449419568822556,2.5095109902401394e-07,8.727461821571248e-07,1.2758732729816613,4.254968476727893e-17,True
Clostridium sp. CAG:273,0.1636682755594559,1.0737839179925407e-07,5.463292985226176e-07,0.006633499170812604,2.705055781277949e-10,4.605998767205365e-09,396.9544456067568,3.0365701514665313e-24,True
Clostridium sp. CAG:288,0.09521720052654672,7.242904299926608e-08,5.599123757455943e-07,0.09618573797678276,7.821059239453718e-09,3.985601860151517e-08,9.26077156325504,0.8392373828377724,False
Clostridium sp. CAG:299,0.209741114523914,9.175132461602199e-08,6.799344375385254e-07,0.02155887230514096,1.4897689561639981e-09,2.0690863942341368e-08,61.587620171836726,8.277795422034419e-28,True
Clostridium sp. CAG:302,0.21588415971917507,3.772408385603512e-07,1.522356319280202e-06,0.23051409618573798,1.4251072385713162e-07,6.697942750965735e-07,2.6471049220024927,0.9026649077488559,False
Clostridium sp. CAG:307,0.06143045195261079,1.1645189429003172e-07,1.0370551054369505e-06,0.3747927031509121,2.1340535828654526e-07,1.7015374250607128e-06,0.5456840222993302,4.523362308743898e-88,True
Clostridium sp. CAG:343,0.14041246160596754,4.005291037152081e-07,2.4365399372080734e-06,0.1558872305140962,1.873291096312158e-07,1.1754971625983806e-06,2.138103920440913,0.596223074569783,False
Clostridium sp. CAG:349,0.10838086880210619,3.36565829149555e-07,2.9781976652387346e-06,0.5572139303482587,1.4984575973385417e-06,5.547986548384081e-06,0.22460817693296115,2.698387741305363e-124,True
Clostridium sp. CAG:352 / Ruminicoccus sp. 2789STDY5834969 & sp. 2789STDY5608859,0.1483106625713032,3.1548379140582355e-07,2.4427242203066184e-06,0.13930348258706468,5.658422448310906e-08,3.017836062576963e-07,5.575472568330393,0.465843682385195,False
Clostridium sp. CAG:354_28_25,0.1075032909170689,2.1295467346640397e-07,1.3073674012130123e-06,0.004975124378109453,2.901548727897536e-10,5.542333656251566e-09,733.934506833911,1.198706152245277e-15,True
Clostridium sp. CAG:389,0.09390083369899078,4.203206039379281e-08,2.8015002570498527e-07,0.1691542288557214,3.502474128787153e-08,2.0266140083422222e-07,1.2000676906740722,1.8672126402153117e-06,True
Clostridium sp. CAG:411,0.028960070206230804,1.9359107403802572e-08,2.4426729006750325e-07,0.014925373134328358,6.1722520761211055e-09,1.1372699728620313e-07,3.1364738777760066,0.04497325282242537,True
Clostridium sp. CAG:413,0.03422553751645459,6.101818123277931e-08,5.565956730400116e-07,0.19071310116086235,4.606079635345205e-07,3.7720086158390197e-06,0.13247313564565905,3.170260755694491e-41,True
Clostridium sp. CAG:417,0.11496270293988592,2.778259594440221e-07,2.1155185457345315e-06,0.1791044776119403,9.892450303925482e-08,7.601644786724639e-07,2.808464545268186,0.0003354184444473432,True
Clostridium sp. CAG:43,0.8354541465555068,5.830258934646162e-07,9.237703462547377e-07,0.8756218905472637,3.1400926952131584e-07,5.987273750050799e-07,1.856715549682328,2.9289333758868974e-11,True
Clostridium sp. CAG:433,0.11232996928477403,1.3740072765706272e-07,9.029061358693133e-07,0.5439469320066335,4.409145357787317e-07,1.412484964142453e-06,0.3116266679990242,7.1932441754920345e-115,True
Clostridium sp. CAG:440,0.09784993418165862,1.456595633855799e-07,1.2137800382492989e-06,0.04311774461028192,1.329062833838978e-08,1.0965035202991338e-07,10.95956938054196,1.4602517178292176e-05,True
Clostridium sp. CAG:448,0.017551557700745943,5.009129981012423e-09,7.331428000787705e-08,0.1044776119402985,1.1368800390284736e-08,5.8282160280927884e-08,0.4406032130965198,1.2172095144590106e-23,True
Clostridium sp. CAG:451,0.06801228609039052,5.8976894112943074e-08,5.227815954348944e-07,0.24212271973466004,6.511801026403045e-08,4.027820905393042e-07,0.9056925092430292,4.227566933691921e-32,True
Clostridium sp. CAG:452,0.06845107503290918,1.8820539134539547e-07,1.6675332305691009e-06,0.23714759535655058,2.833435701618744e-07,1.3685014441100133e-06,0.6642303237651506,1.494089322289476e-31,True
Clostridium sp. CAG:465,0.041246160596752963,2.2161454941334424e-07,3.945793245762371e-06,0.14593698175787728,2.182184161116444e-07,1.518533852992823e-06,1.01556300042047,7.147894260191403e-20,True
Clostridium sp. CAG:508,0.06713470820535322,2.349729045272909e-07,1.8891501559021237e-06,0.11940298507462686,1.0518643381496637e-07,6.155807926107708e-07,2.2338708139932963,0.00010672047104469569,True
Clostridium sp. CAG:510,0.02632733655111891,7.491366554633164e-08,8.790567483137894e-07,0.46102819237147596,4.235883868729071e-07,1.7813305525247613e-06,0.17685486162492134,5.428132629518945e-186,True
Clostridium sp. CAG:524,0.023255813953488372,7.587367401248494e-08,8.854413936113536e-07,0.11608623548922056,1.111731963036131e-07,1.1553938570172187e-06,0.682481718032776,1.9557628548400479e-22,True
Clostridium sp. CAG:533,0.04300131636682756,2.3801707825241365e-07,2.2462814483993977e-06,0.1625207296849088,1.2915960644813025e-07,7.629631411730364e-07,1.8428135916316835,1.8102281196084436e-23,True
Clostridium sp. CAG:557,0.028960070206230804,3.9840454727906e-08,3.2514855338634365e-07,0.03482587064676617,2.253518313840859e-08,2.2955982730014693e-07,1.7679223853301016,0.613145614149894,False
Clostridium sp. CAG:567,0.07020623080298377,3.280322708547588e-07,3.0157835652390085e-06,0.07296849087893864,6.477668320887222e-08,5.84644690755521e-07,5.0640485836087,0.9609450453608746,False
Clostridium sp. CAG:568,0.03422553751645459,3.6440611172667226e-07,5.070968861132363e-06,0.49087893864013266,2.6129159014317056e-06,1.030845530769705e-05,0.13946339089099719,3.6155540839875925e-189,True
Clostridium sp. CAG:571,0.035980693286529176,7.41323384025613e-08,7.772698038388193e-07,0.12603648424543948,9.26284960563884e-08,4.4825156079838594e-07,0.8003189251548746,3.780204023389539e-17,True
Clostridium sp. CAG:575,0.03466432645897324,1.1713892499261669e-08,2.066275837993257e-07,0.1011608623548922,1.2417472718261292e-08,7.354152591856501e-08,0.9433394995130587,6.434972936234244e-11,True
Clostridium sp. CAG:58,0.49627029398859146,1.1785240505138518e-07,3.3435804346970876e-07,0.08955223880597014,2.9331026972953383e-08,2.805389892495164e-07,4.018011546614402,1.118596444091902e-71,True
Clostridium sp. CAG:590,0.013602457218078104,1.753068255379823e-08,3.168383675860147e-07,0.28524046434494194,7.438997048733156e-08,2.462699697822946e-07,0.23565922178694323,9.890323389240713e-117,True
Clostridium sp. CAG:594,0.03422553751645459,5.7772065973138663e-08,8.318650497565361e-07,0.19900497512437812,9.279490994588573e-08,3.732443228142045e-07,0.622577962593304,4.624933943566161e-44,True
Clostridium sp. CAG:609,0.02106186924089513,5.5514175958086156e-08,1.6179110237175786e-06,0.12106135986733002,6.239338093597054e-08,6.533515814920292e-07,0.8897446351730165,1.9755438901275513e-26,True
Clostridium sp. CAG:62,0.574374725756911,5.133050116998579e-07,1.0078919630936495e-06,0.5024875621890548,1.054938452250755e-07,4.659803585390733e-07,4.865734210414838,7.895037098368518e-20,True
Clostridium sp. CAG:628,0.03817463799912242,1.0069302771842725e-07,1.1539276792698204e-06,0.12603648424543948,1.7290137358649546e-07,1.3594534788493664e-06,0.5823726303021801,9.335569806900457e-16,True
Clostridium sp. CAG:632,0.009214567792891619,1.8891978080715918e-08,3.6140670854979927e-07,0.35323383084577115,2.3016318789663942e-07,1.12694467047093e-06,0.08208079777379447,1.1092844594902155e-163,True
Clostridium sp. CAG:678,0.009653356735410267,2.6612705218045706e-08,4.5567192614112363e-07,0.001658374792703151,0.0,0.0,inf,0.024310067220207898,True
Clostridium sp. CAG:7,0.7924528301886793,7.16755194077936e-07,2.245947941112181e-06,0.6517412935323383,1.288654194525521e-07,3.997620913645778e-07,5.562044473396087,2.0995316972961328e-36,True
