,,0
Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,Adlercreutzia equolifaciens,0.00016987225738261422
Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,Anaerostipes hadrus 1,4.819220246871791e-05
Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,Gemmiger formicilis,4.790426443840261e-05
Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,0.00021660982838344833
Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,unclassified Eggerthellaceae,6.101918563923492e-05
Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880,Adlercreutzia equolifaciens,8.275703934513583e-05
Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880,Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,5.9319216150034705e-05
Ruminococcus sp. CAG:353 & sp. 2789STDY5834938,Ruminococcus sp. CAG:353 & sp. 2789STDY5834938,4.672125306960012e-05
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Bacteroides vulgatus,0.00015310718907678218
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Blautia massiliensis,5.4390438720082886e-05
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,0.0001341146429222794
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Eggerthella lenta,7.827795054908565e-05
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Gordonibacter urolithinfaciens,0.000110515393475316
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Parabacteroides distasonis,6.253177318045464e-05
Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Ruminococcus faecis,0.00010957523876842541
Ruminococcus torques,Ruminococcus torques,8.555731463838775e-05
Streptococcus anginosus,Streptococcus anginosus,0.00023524142324281267
Streptococcus gordonii,Streptococcus gordonii,8.471490361987661e-05
Streptococcus mitis,Blautia sp. CAG:257,5.708833823664863e-05
Streptococcus salivarius,Ruminococcus faecis,9.345073924345803e-05
Streptococcus sp. I-P16,Streptococcus sp. I-P16,7.531421839424405e-05
Streptococcus thermophilus,Adlercreutzia equolifaciens,7.644340786431025e-05
Streptococcus thermophilus,Eubacterium hallii,7.40520670047269e-05
Streptococcus thermophilus,Gordonibacter urolithinfaciens,6.387691035080778e-05
Turicibacter sanguinis 1,Turicibacter sanguinis 1,0.00011965629433775531
Veillonella atypica,Veillonella atypica,0.00010488771177960818
Veillonella parvula,Veillonella parvula,5.476367540072307e-05
[Clostridium] hiranonis,[Clostridium] hiranonis,0.00012687478433381086
bacterium LF-3 / Coprobacillus sp. CAG:235,Adlercreutzia equolifaciens,5.290356638672288e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Bacteroides vulgatus,9.713839613321858e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Blautia obeum,5.4099000582058224e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Blautia wexlerae,5.537850558071878e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,7.918567583887925e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Dorea longicatena 1,4.790289604080642e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Eubacterium hallii,6.575259976884871e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Firmicutes bacterium CAG:114,6.372113329379338e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,8.817034075843302e-05
bacterium LF-3 / Coprobacillus sp. CAG:235,Fusicatenibacter saccharivorans,6.513458402312979e-05
butyrate-producing bacterium SS3/4 - Clostridium sp. CAG:81,butyrate-producing bacterium SS3/4 - Clostridium sp. CAG:81,0.0006398701352024253
unclassified,Bacteroides vulgatus,6.285659073309738e-05
unclassified Alistipes,unclassified Alistipes,0.00011341440045584245
unclassified Anaerostipes,unclassified Anaerostipes,9.907142704469525e-05
unclassified Bacteroides,unclassified Bacteroides,5.5509755576358086e-05
unclassified Blautia,Coprococcus comes,7.088374270179807e-05
unclassified Blautia,Dorea longicatena 1,7.131302481856043e-05
unclassified Blautia,unclassified Blautia,0.00023763496236429846
unclassified Butyricicoccus,unclassified Butyricicoccus,0.00010203346204243117
unclassified Clostridiales,unclassified Clostridiales,0.0005193534510898576
unclassified Clostridium,Collinsella aerofaciens,5.5372365568889204e-05
unclassified Clostridium,Coprococcus comes,5.330071272033738e-05
unclassified Clostridium,Parabacteroides distasonis,6.450225603199714e-05
unclassified Clostridium,Parabacteroides merdae,7.298738184666538e-05
unclassified Clostridium,unclassified Oscillibacter,4.72580452293814e-05
unclassified Clostridium,unclassified Ruminococcaceae,6.13869609402672e-05
unclassified Eggerthellaceae,Adlercreutzia equolifaciens,5.868989791102372e-05
unclassified Eggerthellaceae,Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,6.101918563923493e-05
unclassified Erysipelatoclostridium,unclassified Erysipelatoclostridium,0.00020689694301599765
unclassified Eubacterium,unclassified Eubacterium,0.00019153672159640732
unclassified Faecalibacterium,unclassified Faecalibacterium,0.00014576744795336412
unclassified Intestinibacter,unclassified Intestinibacter,0.00017247027407999753
unclassified Intestinimonas,unclassified Intestinimonas,0.0001445443840990155
unclassified Lachnoclostridium,unclassified Lachnoclostridium,0.0002691324733034575
unclassified Lachnospiraceae,unclassified Lachnospiraceae,0.00036950760508829033
unclassified Marvinbryantia,unclassified Marvinbryantia,5.4291400378988406e-05
unclassified Muribaculaceae,unclassified Muribaculaceae,0.00012337436714235928
unclassified Oscillibacter,Adlercreutzia equolifaciens,0.00011159246568951108
unclassified Oscillibacter,unclassified Clostridium,4.72580452293814e-05
unclassified Phascolarctobacterium,unclassified Phascolarctobacterium,0.0001373643114619364
unclassified Prevotella,Bacteroides vulgatus,6.306203125750503e-05
unclassified Ruminiclostridium,unclassified Ruminiclostridium,0.00011633847268657139
unclassified Ruminococcaceae,Blautia massiliensis,7.948793725621735e-05
unclassified Ruminococcaceae,Collinsella aerofaciens,6.0566011157578146e-05
unclassified Ruminococcaceae,Dorea longicatena 1,8.757284632449616e-05
unclassified Ruminococcaceae,Fusicatenibacter saccharivorans,0.000161308521530176
unclassified Ruminococcaceae,unclassified Clostridium,6.138696094026723e-05
