"","size","NA_pc","BHit_pc","BHit","BH_ali","BH_id","NA_pc_","Taxo_pc","Taxo","Taxo_ali","Taxo_id","Taxo_level","species","genus","family","order","class","phylum","superkingdom","size_annot","gp"
"msp_0331",2874,0.4,97.9,"uncultured Oscillibacter sp. 2789STDY5834893",99,99.5,0.4,98.6,"Oscillibacter sp. KLE 1728 & KLE 1745 / Oscillospiraceae VE202-24",99.6,99.7,"species","Oscillibacter sp. KLE 1728 & KLE 1745 / Oscillospiraceae VE202-24","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2622,"msp_0331"
"msp_0332",2985,26.6,16.2,"uncultured Clostridium sp. 2789STDY5834873",75.4,78.3,26.6,68.4,"Clostridiales",62.4,78.3,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2969,"msp_0332"
"msp_0333",2825,1.6,85.4,"Lactobacillus ruminis SPM0211",97.1,98,1.6,95.9,"Lactobacillus ruminis",98.3,98.7,"species","Lactobacillus ruminis","Lactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",2767,"msp_0333"
"msp_0334",3020,1.3,90.7,"Erysipelotrichaceae bacterium 5_2_54FAA",98.8,98.8,1.3,97.5,"Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31",99.7,99.6,"species","Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31","unclassified Erysipelotrichaceae","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Firmicutes","Bacteria",2849,"msp_0334"
"msp_0335",3457,19.9,36.6,"Alistipes sp. CAG:268",87.1,84.2,20,72.7,"Alistipes",83.8,83.5,"genus","unclassified Alistipes","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2773,"msp_0335"
"msp_0336",3247,4.8,88.2,"Bacteroides fluxus YIT 12057",98.5,99.5,5,88.2,"Bacteroides fluxus",98.5,99.5,"species","Bacteroides fluxus","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2957,"msp_0336"
"msp_0337",3647,4.1,83.8,"Eubacterium sp. 38_16",95.9,98.5,4.1,89.4,"Eubacterium sp. 38_16 & CAG:146",97.7,99,"species","Eubacterium sp. 38_16 & CAG:146","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2107,"msp_0337"
"msp_0338",3702,8.9,76.5,"Fusobacterium mortiferum ATCC 9817",97.4,98.2,8.9,76.5,"Fusobacterium mortiferum",97.4,98.2,"species","Fusobacterium mortiferum","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteria","Bacteria",3162,"msp_0338"
"msp_0339",5316,23.9,43,"Prevotella copri Indica",76.6,83.8,23.9,70.7,"Prevotella",71.5,83.2,"genus","unclassified Prevotella","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1094,"msp_0339"
"msp_0340",2941,2.4,93.5,"[Clostridium] leptum DSM 753",99.2,99.3,2.4,95.6,"Clostridium leptum",99.3,99.5,"species","Clostridium leptum","Ruminiclostridium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2656,"msp_0340"
"msp_0341",2735,0,97.3,"Klebsiella oxytoca 1148_KOXY",100,100,0,99,"Klebsiella michiganensis 2",100,100,"species","Klebsiella michiganensis 2","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bacteria",2197,"msp_0341"
"msp_0342",3396,7.1,80.4,"uncultured Flavonifractor sp. 2789STDY5834931",97,98.5,7.1,80.4,"Flavonifractor sp. 2789STDY5834931",97,98.5,"species","Flavonifractor sp. 2789STDY5834931","Flavonifractor","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1532,"msp_0342"
"msp_0343",2848,6.7,90.9,"Clostridium sp. CAG:413",96,98.6,6.7,90.9,"Clostridium sp. CAG:413",96,98.6,"species","Clostridium sp. CAG:413","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2708,"msp_0343"
"msp_0344",2674,2.9,95.2,"Anaerotruncus sp. CAG:390",95,99.6,2.9,95.2,"Anaerotruncus sp. CAG:390",95,99.6,"species","Anaerotruncus sp. CAG:390","Anaerotruncus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2340,"msp_0344"
"msp_0345",3746,12.4,65.4,"Faecalibacterium prausnitzii 2789STDY5608869",87.6,87.2,12.4,65.4,"Faecalibacterium prausnitzii 5",87.6,87.2,"genus","unclassified Faecalibacterium","Faecalibacterium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2524,"msp_0345"
"msp_0346",3141,3.4,89.5,"Clostridium sp. CAG:43",94.6,98.5,3.4,89.5,"Clostridium sp. CAG:43",94.6,98.5,"species","Clostridium sp. CAG:43","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",3003,"msp_0346"
"msp_0347",3165,0.2,94.1,"Clostridium paraputrificum 373-A1",99.7,99,0.2,97.1,"Clostridium paraputrificum",99.8,99.2,"species","Clostridium paraputrificum","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",3126,"msp_0347"
"msp_0348",3025,37.4,5.8,"Clostridiales bacterium Firm_10",53.8,77.6,37.4,51,"Firmicutes",45.2,79.4,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",3004,"msp_0348"
"msp_0349",2923,1.3,92,"Bacteroides sp. CAG:702",97.3,99.1,1.3,96.8,"Bacteroides sp. An19 & An51A & An269 & An279 & CAG:702",99.2,99.5,"species","Bacteroides sp. An19 & An51A & An269 & An279 & CAG:702","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1902,"msp_0349"
"msp_0350",2595,1.7,92.7,"Fournierella massiliensis AM2",99.1,98.8,1.7,92.7,"Fournierella massiliensis",99.1,98.8,"species","Fournierella massiliensis","Fournierella","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2142,"msp_0350"
"msp_0351",2953,15.6,43.8,"Bacteroides sp. CAG:462",87.5,80,15.8,71.6,"Bacteroides",79.5,79.2,"genus","unclassified Bacteroides","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2894,"msp_0351"
"msp_0352",2793,11,74,"Oscillibacter sp. CAG:241",91.5,98.4,11,74,"Oscillibacter sp. CAG:241",91.5,98.4,"species","Oscillibacter sp. CAG:241","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",639,"msp_0352"
"msp_0353",2941,61.4,2.4,"Acidiphilium sp. CAG:727",50.4,77.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2593,"msp_0353"
"msp_0354",2568,36,6.8,"Clostridiales bacterium Firm_10",57.1,78,36,52.6,"Firmicutes",48.6,78.9,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",2426,"msp_0354"
"msp_0355",2947,16.8,22.6,"Bacteroides mediterraneensis Marseille-P2644",82.9,79.2,16.9,76.6,"Bacteroides",76.1,78.6,"genus","unclassified Bacteroides","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2852,"msp_0355"
"msp_0356",3046,32.7,16.8,"Firmicutes bacterium CAG:170",68.7,79.3,32.7,52.1,"Clostridiales",55.2,79.8,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2899,"msp_0356"
"msp_0357",3634,13,79.8,"Clostridium sp. CAG:169",94.5,97.9,13,79.8,"Clostridium sp. CAG:169",94.5,97.9,"species","Clostridium sp. CAG:169","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",3384,"msp_0357"
"msp_0358",3437,18.3,33.7,"Eubacterium sp. An11",83.5,79.1,18.3,57.8,"Eubacterium",80,78.9,"genus","unclassified Eubacterium","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",3358,"msp_0358"
"msp_0359",2929,6.1,78,"Mitsuokella jalaludinii 2789STDY5608828",96.9,97.1,6.1,81.7,"Mitsuokella jalaludinii",97.3,97.6,"species","Mitsuokella jalaludinii","Mitsuokella","Selenomonadaceae","Selenomonadales","Negativicutes","Firmicutes","Bacteria",1812,"msp_0359"
"msp_0360",2496,0.4,97.2,"[Clostridium asparagiforme] DSM 15981",98.2,99.6,0.4,99,"Clostridium asparagiforme == lavalense",99.8,99.7,"species","Clostridium asparagiforme == lavalense","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2419,"msp_0360"
"msp_0361",2981,8.7,85,"Firmicutes bacterium CAG:170",93.5,98.6,8.7,85,"Firmicutes bacterium CAG:170",93.5,98.6,"species","Firmicutes bacterium CAG:170","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",2634,"msp_0361"
"msp_0362",2797,0,99.2,"uncultured Clostridium sp. 2789STDY5834954",99.6,99.8,0,99.8,"Clostridium saudiense",100,99.9,"species","Clostridium saudiense","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2583,"msp_0362"
"msp_0363",2862,7.2,19.3,"Bacteroides fluxus YIT 12057",92,80.2,8.4,89.3,"Bacteroides",87.6,80,"genus","unclassified Bacteroides","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2487,"msp_0363"
"msp_0364",3048,1.9,89.8,"Intestinimonas butyriciproducens ER1",98.6,99.2,1.9,94.9,"Intestinimonas butyriciproducens",99.5,99.7,"species","Intestinimonas butyriciproducens","Intestinimonas","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2853,"msp_0364"
"msp_0365",2913,28.2,7.6,"Coprococcus catus GD/7",67.2,77,28.2,56.7,"Lachnospiraceae",54.3,78.4,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2689,"msp_0365"
"msp_0366",2793,5.2,85.3,"Caecibacter massiliensis Marseille-P2974",96.7,88.6,5.2,87.9,"Caecibacter massiliensis",96.6,88.8,"genus","unclassified Caecibacter","Caecibacter","Veillonellaceae","Veillonellales","Negativicutes","Firmicutes","Bacteria",2404,"msp_0366"
"msp_0367",2792,2.7,91.7,"Ruminococcus champanellensis 18P13 = JCM 17042",98.5,98.6,2.7,94,"Ruminococcus champanellensis",98.8,99.1,"species","Ruminococcus champanellensis","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2721,"msp_0367"
"msp_0368c",3666,0,55.2,"Aeromonas veronii AVNIH2",99.8,97.8,0,100,"Aeromonas veronii",99.9,98.3,"species","Aeromonas veronii","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria","Bacteria",3055,"msp_0368c"
"msp_0369",3739,44.6,13.3,"Desulfovibrio sp. An276",64.2,77.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",3634,"msp_0369"
"msp_0370",2822,0.2,97.1,"Clostridia bacterium UC5.1-1E11",99,99.5,0.2,99.4,"Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11",99.9,99.8,"species","Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11","Anaeromassilibacillus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2666,"msp_0370"
"msp_0371",2915,8.9,66,"Roseburia sp. CAG:100",91,83,8.9,66,"Roseburia sp. CAG:100",91,83,"genus","unclassified Roseburia","Roseburia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2492,"msp_0371"
"msp_0372",2842,50.4,0.8,"Clostridium sp. CAG:448",23.5,78.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2764,"msp_0372"
"msp_0373",2972,6,81.4,"uncultured Clostridium sp. 2789STDY5608884",97.8,98.7,6,81.4,"Clostridium sp. 2789STDY5608884",97.8,98.7,"species","Clostridium sp. 2789STDY5608884","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2867,"msp_0373"
"msp_0374",3627,5.8,87.2,"Gemmiger formicilis ATCC 27749",95.6,97.7,5.8,89.8,"Gemmiger formicilis",96.3,97.9,"species","Gemmiger formicilis","Gemmiger","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2268,"msp_0374"
"msp_0375",3201,7,83.7,"Azospirillum sp. CAG:260",95.3,98.9,7,88.2,"Rhodospirillum sp. UNK.MGS-17 / Azospirillum sp. 47_25 & CAG:260",97.3,99.1,"species","Rhodospirillum sp. UNK.MGS-17 / Azospirillum sp. 47_25 & CAG:260","unclassified Rhodospirillaceae","Rhodospirillaceae","Rhodospirillales","Alphaproteobacteria","Proteobacteria","Bacteria",2857,"msp_0375"
"msp_0376",3054,4.9,84.6,"[Bacteroides] pectinophilus ATCC 43243",97.4,98.8,4.9,89.2,"Bacteroides pectinophilus",98.2,99,"species","Bacteroides pectinophilus","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",3001,"msp_0376"
"msp_0377",2756,1.2,95,"Bacteroides sp. CAG:714",98,99.1,1.2,97.4,"Bacteroides barnesiae",99.2,99.4,"species","Bacteroides barnesiae","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2036,"msp_0377"
"msp_0378",3196,7.7,84.9,"Eubacterium sp. CAG:156",96,98.2,7.7,84.9,"Eubacterium sp. CAG:156",96,98.2,"species","Eubacterium sp. CAG:156","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2845,"msp_0378"
"msp_0379",2770,1.2,95.1,"Merdimonas faecis BR31",99.5,98.9,1.2,95.1,"Merdimonas faecis",99.5,98.9,"species","Merdimonas faecis","Merdimonas","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2651,"msp_0379"
"msp_0380",3951,0,50,"Streptococcus pneumoniae 2842STDY5753514",99.3,97.7,0,97,"Streptococcus salivarius",99.7,98.9,"species","Streptococcus salivarius","Streptococcus","Streptococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",3345,"msp_0380"
"msp_0381",2888,3.9,83.5,"Alistipes senegalensis JC50",98.8,98.4,3.9,83.5,"Alistipes senegalensis",98.8,98.4,"species","Alistipes senegalensis","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1833,"msp_0381"
"msp_0382",3767,28.7,21.8,"Clostridium sp. KLE 1755",67.8,77.4,28.7,51.7,"Lachnospiraceae",59.4,77.8,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2581,"msp_0382"
"msp_0383",3128,12.7,78.7,"Dialister succinatiphilus YIT 11850",95.9,96.7,12.7,78.7,"Dialister succinatiphilus",95.9,96.7,"species","Dialister succinatiphilus","Dialister","Veillonellaceae","Veillonellales","Negativicutes","Firmicutes","Bacteria",1773,"msp_0383"
"msp_0384",2944,13,72.4,"Firmicutes bacterium CAG:137",87.5,84.7,13,72.4,"Firmicutes bacterium CAG:137",87.5,84.7,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",2790,"msp_0384"
"msp_0385",3127,6.7,77.5,"Ruminococcaceae bacterium D16",98.2,97.1,6.7,77.5,"Ruminococcaceae bacterium D16",98.2,97.1,"species","Ruminococcaceae bacterium D16","unclassified Ruminococcaceae","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2096,"msp_0385"
"msp_0386",2910,49.8,13.4,"Duodenibacillus massiliensis Marseille-P2968",56.2,78.1,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1586,"msp_0386"
"msp_0387",2729,3.1,94.7,"Firmicutes bacterium CAG:882",97.8,98.7,3.1,94.7,"Firmicutes bacterium CAG:882",97.8,98.7,"species","Firmicutes bacterium CAG:882","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",2374,"msp_0387"
"msp_0388",3728,1.1,93.8,"Faecalibacterium prausnitzii L2-6",94.6,97,1.1,93.8,"Faecalibacterium prausnitzii 3 ( L2-6)",94.6,97,"species","Faecalibacterium prausnitzii 3 ( L2-6)","Faecalibacterium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2873,"msp_0388"
"msp_0389",3600,1.3,96.3,"uncultured Faecalibacterium sp. 2789STDY5608870",95.9,97.9,1.3,96.8,"Faecalibacterium prausnitzii 4 (cf. KLE1255)",97.3,98.1,"species","Faecalibacterium prausnitzii 4 (cf. KLE1255)","Faecalibacterium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2019,"msp_0389"
"msp_0390",2668,1.1,92.2,"Bacteroides sp. CAG:1076",97.6,99.6,1.1,92.2,"Bacteroides sp. CAG:1076",97.6,99.6,"species","Bacteroides sp. CAG:1076","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1463,"msp_0390"
"msp_0391",2794,2.3,93.6,"Oscillibacter sp. CAG:155",97.2,99.4,2.3,93.6,"Oscillibacter sp. CAG:155",97.2,99.4,"species","Oscillibacter sp. CAG:155","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2020,"msp_0391"
"msp_0392",3010,15.7,74.3,"Firmicutes bacterium CAG:238",94.4,98.6,15.7,74.3,"Firmicutes bacterium CAG:238",94.4,98.6,"species","Firmicutes bacterium CAG:238","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1966,"msp_0392"
"msp_0393",2736,14.2,61.9,"[Eubacterium] siraeum 2789STDY5834928",88.4,83.7,14.2,77.7,"Eubacterium siraeum",85.3,84,"genus","unclassified Ruminiclostridium","Ruminiclostridium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1362,"msp_0393"
"msp_0394",3096,20.5,18.5,"Parabacteroides distasonis FDAARGOS_344",80.9,77.9,20.6,53.3,"Parabacteroides",74.8,77.4,"genus","unclassified Parabacteroides","Parabacteroides","Porphyromonadaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3065,"msp_0394"
"msp_0395",2425,3.8,87.7,"Brachyspira sp. CAG:700",95.2,97.9,3.8,87.7,"Brachyspira sp. CAG:700",95.2,97.9,"species","Brachyspira sp. CAG:700","Brachyspira","Brachyspiraceae","Brachyspirales","Spirochaetia","Spirochaetes","Bacteria",2424,"msp_0395"
"msp_0396",2797,11.1,75.9,"Adlercreutzia equolifaciens DSM 19450",95.6,95.3,11.1,75.9,"Adlercreutzia equolifaciens",95.6,95.3,"species","Adlercreutzia equolifaciens","Adlercreutzia","Eggerthellaceae","Eggerthellales","Coriobacteriia","Actinobacteria","Bacteria",2474,"msp_0396"
"msp_0397",2608,23.4,17.8,"uncultured Clostridium sp. 2789STDY5834873",77.2,78.9,23.4,71.8,"Clostridiales",65.2,78.8,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2585,"msp_0397"
"msp_0398",3036,45,12.7,"Clostridium sp. CAG:226",59.5,78.6,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2843,"msp_0398"
"msp_0399",2837,8.3,85.9,"Faecalibacterium prausnitzii 2789STDY5608869",95.9,98.2,8.3,85.9,"Faecalibacterium prausnitzii 5",95.9,98.2,"species","Faecalibacterium prausnitzii 5","Faecalibacterium","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1681,"msp_0399"
"msp_0400",2686,45.1,5.4,"Ruminococcaceae bacterium P7",56.1,76.6,45.1,50.9,"Firmicutes",48.4,78.4,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",2686,"msp_0400"
"msp_0401",2718,51.5,1.2,"uncultured Clostridium sp. 2789STDY5834941",33.1,79.3,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",2645,"msp_0401"
"msp_0402",2946,20.3,10.6,"Clostridium sp. AT4 AT5",69.9,77.9,20.3,63.2,"Lachnospiraceae",59,77.6,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2734,"msp_0402"
"msp_0403",4494,0,20.9,"Enterococcus faecium 24-10",100,99.9,0,100,"Enterococcus faecium",100,100,"species","Enterococcus faecium","Enterococcus","Enterococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",4139,"msp_0403"
"msp_0404",2739,16.5,63.2,"Firmicutes bacterium CAG:124",87.1,88.5,16.5,63.2,"Firmicutes bacterium CAG:124",87.1,88.5,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1439,"msp_0404"
"msp_0405",2711,3.3,93.8,"Ruminococcus sp. CAG:403",96.2,99.2,3.3,93.8,"Ruminococcus sp. CAG:403",96.2,99.2,"species","Ruminococcus sp. CAG:403","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2457,"msp_0405"
"msp_0406",2292,18.4,36.6,"Caecibacter massiliensis Marseille-P2974",85.3,79,18.4,55.8,"Megasphaera",73.8,78.1,"genus","unclassified Megasphaera","Megasphaera","Veillonellaceae","Veillonellales","Negativicutes","Firmicutes","Bacteria",2209,"msp_0406"
"msp_0407",2785,16.6,65.6,"Gemmiger formicilis ATCC 27749",91.1,85.6,16.6,70,"Gemmiger formicilis",90.9,85.6,"genus","unclassified Gemmiger","Gemmiger","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1702,"msp_0407"
"msp_0408",3300,2.1,87.6,"Lactobacillus mucosae LM1",97.1,96.9,2.1,93.4,"Lactobacillus mucosae",97.6,97.8,"species","Lactobacillus mucosae","Lactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",3002,"msp_0408"
"msp_0409",2702,0.9,96.8,"Pyramidobacter piscolens W5455",99.3,99.1,0.9,96.8,"Pyramidobacter piscolens",99.3,99.1,"species","Pyramidobacter piscolens","Pyramidobacter","Synergistaceae","Synergistales","Synergistia","Synergistetes","Bacteria",2684,"msp_0409"
"msp_0410",2612,17.9,53.1,"Anaeromassilibacillus sp. An200",91.3,82.3,17.9,53.1,"Anaeromassilibacillus sp. An200",91.3,82.3,"genus","unclassified Anaeromassilibacillus","Anaeromassilibacillus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2289,"msp_0410"
"msp_0411",2834,14,72.6,"Akkermansia sp. KLE1605",94.9,91.3,14,72.6,"Akkermansia sp. KLE1605",94.9,91.3,"genus","unclassified Akkermansia","Akkermansia","Akkermansiaceae","Verrucomicrobiales","Verrucomicrobiae","Verrucomicrobia","Bacteria",1129,"msp_0411"
"msp_0412",2962,11.7,80.7,"Bacteroides sp. CAG:144",95.5,99.1,11.7,80.7,"Bacteroides sp. CAG:144",95.5,99.1,"species","Bacteroides sp. CAG:144","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2206,"msp_0412"
"msp_0413",3076,18.8,68.2,"Phascolarctobacterium sp. CAG:207",93.1,85.4,18.8,70.8,"Phascolarctobacterium sp. CAG:207",92.7,85.3,"genus","unclassified Phascolarctobacterium","Phascolarctobacterium","Acidaminococcaceae","Acidaminococcales","Negativicutes","Firmicutes","Bacteria",2961,"msp_0413"
"msp_0414",2745,9.7,79.7,"Sutterella sp. CAG:397",94.5,99.2,9.7,86.3,"Duodenibacillus massiliensis",96.8,99.1,"species","Duodenibacillus massiliensis","Duodenibacillus","Sutterellaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria",2615,"msp_0414"
"msp_0415",2595,31.2,12.4,"Barnesiella intestinihominis YIT 11860",70.7,76.5,31.4,62.7,"Bacteroidales",56.2,77.3,"order","unclassified Bacteroidales","unclassified Bacteroidales","unclassified Bacteroidales","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2571,"msp_0415"
"msp_0416",3310,10.1,80.3,"Bacteroides sp. CAG:709",95.9,97.5,10.1,80.3,"Bacteroides sp. CAG:709",95.9,97.5,"species","Bacteroides sp. CAG:709","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2283,"msp_0416"
"msp_0417",2781,16.6,40.7,"Alistipes sp. CAG:268",84.3,83,16.6,76.8,"Alistipes",82.4,82.6,"genus","unclassified Alistipes","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",2249,"msp_0417"
"msp_0418",2491,6.3,75.3,"Gemmiger formicilis ATCC 27749",91.1,84.7,6.3,78.6,"Gemmiger formicilis",91.6,84.7,"genus","unclassified Gemmiger","Gemmiger","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1582,"msp_0418"
"msp_0419",2800,0.3,68.8,"Bifidobacterium bifidum Calf96",97.5,99.1,0.3,98.2,"Bifidobacterium bifidum",99.2,99.5,"species","Bifidobacterium bifidum","Bifidobacterium","Bifidobacteriaceae","Bifidobacteriales","Actinobacteria","Actinobacteria","Bacteria",2166,"msp_0419"
"msp_0420",3579,42.5,13.9,"uncultured Ruminococcus sp. 2789STDY5834938",67.4,78.3,42.5,51.4,"Clostridiales",57.5,79.2,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",3499,"msp_0420"
"msp_0421",2797,50.7,2.6,"uncultured Ruminococcus sp. 2789STDY5882206",69.3,80.6,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1360,"msp_0421"
"msp_0422",2511,0.9,93.2,"Romboutsia timonensis Marseille-P326",98.8,98.9,0.9,93.2,"Romboutsia timonensis",98.8,98.9,"species","Romboutsia timonensis","Romboutsia","Peptostreptococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2255,"msp_0422"
"msp_0423",2689,14.3,39.2,"Oscillibacter sp. CAG:155",83.1,82.3,14.3,69.9,"Oscillibacter",82.2,81.5,"genus","unclassified Oscillibacter","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",2377,"msp_0423"
"msp_0424",2696,31,15.2,"Clostridiales bacterium Firm_10",64.5,78.1,31,50.2,"Clostridiales",53.4,78.9,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2528,"msp_0424"
